Taxa	Obs
33-16	-1.27310373007391
38-11	0.55152709711736
4226	-0.254927311419241
4722	-6.12296434905205
A188	-2.59398254112599
A214N	-1.85112806136461
A239	2.69252224429689
A272	0.388128049250129
A441-5	-0.401666472278655
A554	-3.30764219315703
A556	-0.558074882347042
A6	-2.12787873113581
A619	-4.07420709953876
A632	1.97712437722775
A634	-1.42036728340454
A635	2.16812702951737
A641	-2.95956300909703
A654	-0.593064755376849
A659	0.181908037899157
A661	-3.06964155937129
A679	-1.72689449775901
A680	-1.25733906144515
A682	-4.38433690435271
AB28A	-2.30186978408547
B10	0.781956621401974
B103	-1.14405082476027
B104	-2.4442024095784
B105	-4.19146996801284
B109	-4.44510737138488
B115	-2.92495317847045
B14A	-3.09924877883855
B164	3.61318484885383
B2	-2.06699109356204
B37	-2.73454731808419
B46	-2.98855069783682
B52	0.474251688671315
B57	-4.06304014522989
B64	-1.37722874343434
B68	2.54041300113003
B73	-3.02374984238326
B73HTRHM	-0.891533532341078
B75	0.151970010804647
B76	-0.988178943012746
B77	-1.78700659953955
B79	0.358187649639722
B84	4.47519613584084
B97	-3.09149103507858
C103	1.52010811355732
C123	-1.52028128255362
C49A	1.32331043682854
CH701-30	0.859924459919665
CH9	1.41588279794819
CI7	1.99948572640378
CI187-2	-4.21060724514473
CI21E	2.22488981400089
CI28A	1.04130759530082
CI31A	-0.855968982807485
CI3A	3.14684003842648
CI64	-0.838465522023949
CI66	2.00083588270431
CI90C	2.09974211505928
CI91B	-7.11682825067676
CM105	-0.514398657019909
CM174	-0.0092132421171179
CM37	-2.5413266771684
CM7	-6.04293163635639
CML10	2.24759219459183
CML103	-4.30939697313001
CML108	0.825570145432975
CML11	2.07416314138127
CML14	-2.34219871624529
CML154Q	-3.18250486785221
CML157Q	-4.28838623332769
CML158Q	-1.20620872245894
CML218	-5.28772053137672
CML220	-0.0180128786534288
CML228	3.637520940177
CML238	-2.49435272540115
CML247	-5.4958918678346
CML254	-3.37594466605718
CML258	3.56352843250057
CML261	-2.3380760593672
CML264	-2.0649447442869
CML277	1.75694878456166
CML281	-1.86108267854113
CML287	0.401784970237814
